PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER,UPC,COMMENT
"BLUE FOAM 2"" THICK 4FT X 9FT",CASCADE,MS30-1720BU-S,MS30-1720BU-S,MS30-1720BU-S,MS30-1720BU-S,,toolong
BATTERY,DURACELL,DPC-AL-MN908,DPC-AL-MN908,DPC-AL-MN908,DPC-AL-MN908,,toolong
BATTERY,DURACELL,DPC-PC1400,DPC-PC1400,DPC-PC1400,DPC-PC1400,,toolong
BATTERY,DURACELL,DPC-PC1500BKD,DPC-PC1500BKD,DPC-PC1500BKD,DPC-PC1500BKD,,toolong
BATTERY,DURACELL,DPC-PC1604BKD,DPC-PC1604BKD,DPC-PC1604BKD,DPC-PC1604BKD,,toolong
BATTERY,DURACELL,DPC-PC2400BKD,DPC-PC2400BKD,DPC-PC2400BKD,DPC-PC2400BKD,,toolong
SCRUBS IN A BUCKET,DYKEM,42272,42272,42272,42272,,toolong
6GAL POLYETHYLENE RED OILY WASTE,EAGLE SAFETY,LC50933FL,LC50933FL,LC50933FL,LC50933FL,,toolong
10GAL REDW/FOOT LEVER OILY WASTE,EAGLE SAFETY,LC50935FL,LC50935FL,LC50935FL,LC50935FL,,toolong
14GAL REDW/FOOT LEVER OILY WASTE,EAGLE SAFETY,LC50937FL,LC50937FL,LC50937FL,LC50937FL,,toolong
2GAL RED TYPE II SAFETY CAN,EAGLE SAFETY,LC50U226S,LC50U226S,LC50U226S,LC50U226S,,toolong
5GAL RED TYPE II SAFETY CAN,EAGLE SAFETY,LC50U251S,LC50U251S,LC50U251S,LC50U251S,,toolong
1GAL RED TYPE I SAFETY CAN,EAGLE SAFETY,LC50UI10S,LC50UI10S,LC50UI10S,LC50UI10S,,toolong
2GAL RED TYPE I SAFETY CAN,EAGLE SAFETY,LC50UI20S,LC50UI20S,LC50UI20S,LC50UI20S,,toolong
1QT RED TYPE I SAFETY CAN,EAGLE SAFETY,LC50UI2S,LC50UI2S,LC50UI2S,LC50UI2S,,toolong
2QT RED TYPE I SAFETY CAN,EAGLE SAFETY,LC50UI4S,LC50UI4S,LC50UI4S,LC50UI4S,,toolong
5GAL RED TYPE I SAFETY CAN,EAGLE SAFETY,LC50UI50S,LC50UI50S,LC50UI50S,LC50UI50S,,toolong
AMBER TEMPLE/AMBER LENS (MINIMUM PURCHAS,GATEWAY SAFETY,4475,4475,4475,4475,,toolong
PACIFIC BLUE TEMPLE/PACIFIC BLUE LENS (M,GATEWAY SAFETY,4476,4476,4476,4476,,toolong
GRAY TEMPLE/GRAY ANTI-FOG LENS (MINIMUM,GATEWAY SAFETY,4478,4478,4478,4478,,toolong
CLEAR TEMPLE/CLEAR ANTI-FOG LENS (MINIMU,GATEWAY SAFETY,4479,4479,4479,4479,,toolong
MOCHA TEMPLE/MOCHA LENS (MINIMUM PURCHAS,GATEWAY SAFETY,4486,4486,4486,4486,,toolong
GREEN TEMPLE/IR SHADE 3.0 LENS (MINIMUM,GATEWAY SAFETY,4664,4664,4664,4664,,toolong
GREEN TEMPLE/IR SHADE 5.0 LENS (MINIMUM,GATEWAY SAFETY,4666,4666,4666,4666,,toolong
AMBER TEMPLE/AMBER LENS (MINIMUM PURCHAS,GATEWAY SAFETY,4675,4675,4675,4675,,toolong
PACIFIC BLUE TEMPLE/PACIFIC BLUE LENS (M,GATEWAY SAFETY,4676,4676,4676,4676,,toolong
GRAY TEMPLE/GRAY ANTI-FOG LENS (MINIMUM,GATEWAY SAFETY,4678,4678,4678,4678,,toolong
CLEAR TEMPLE/CLEAR ANTI-FOG LENS (MINIMU,GATEWAY SAFETY,4679,4679,4679,4679,,toolong
CLEAR TEMPLE/CLEAR LENS (MINIMUM PURCHAS,GATEWAY SAFETY,4680,4680,4680,4680,,toolong
GRAY TEMPLE/ GRAY LENS (MINIMUM PURCHASE,GATEWAY SAFETY,4683,4683,4683,4683,,toolong
MOCHA TEMPLE/MOCHA LENS (MINIMUM PURCHAS,GATEWAY SAFETY,4686,4686,4686,4686,,toolong
MOCHA TEMPLE/MOCHA ANTI-FOG LENS (MINIMU,GATEWAY SAFETY,4687,4687,4687,4687,,toolong
BLACK FRAME/CLEAR MIRROR LENS (MINIMUM P,GATEWAY SAFETY,14GB0M,14GB0M,14GB0M,14GB0M,,toolong
BLACK FRAME/RED MIRROR LENS (MINIMUM PUR,GATEWAY SAFETY,14GB1M,14GB1M,14GB1M,14GB1M,,toolong
BLACK TEMPLE/BLUE LIGHT FILTER LENS (MIN,GATEWAY SAFETY,14GB69,14GB69,14GB69,14GB69,,toolong
BLACK FRAME/MOCHA MIRROR LENS (MINIMUM P,GATEWAY SAFETY,14GB6M,14GB6M,14GB6M,14GB6M,,toolong
BLACK TEMPLE/AMBER LENS (MINIMUM PURCHAS,GATEWAY SAFETY,14GB75,14GB75,14GB75,14GB75,,toolong
BLACK TEMPLE/GRAY ANTI-FOG LENS (MINIMUM,GATEWAY SAFETY,14GB78,14GB78,14GB78,14GB78,,toolong
BLACK TEMPLE/CLEAR ANTI-FOG LENS (MINIMU,GATEWAY SAFETY,14GB79,14GB79,14GB79,14GB79,,toolong
BLACK FRAME/GOLD MIRROR LENS (MINIMUM PU,GATEWAY SAFETY,14GB7M,14GB7M,14GB7M,14GB7M,,toolong
BLACK TEMPLE/CLEAR LENS (MINIMUM PURCHAS,GATEWAY SAFETY,14GB80,14GB80,14GB80,14GB80,,toolong
BLACK TEMPLE/GRAY LENS (MINIMUM PURCHASE,GATEWAY SAFETY,14GB83,14GB83,14GB83,14GB83,,toolong
BLACK TEMPLE/MOCHA LENS (MINIMUM PURCHAS,GATEWAY SAFETY,14GB86,14GB86,14GB86,14GB86,,toolong
